text_script	multimodal_emotion
뭐?	5
그건… 올해는 안 빌었다?	2
저도 어쩔 수 없어요. 그러니까 내일까지 꼭 입금하세요.	4
왜요? 누가 돌아가시면 속상한 거 아니에요?	6
그 쪽 부모님은?	5
그래그래. 공부하느라 많이 바쁘지?	7
아휴 이 형님 또 흥분하셨네. 됐어요 저. 이제 그 회사, 회사에 별로 미련도 없고. 저 명퇴 당하면 형님 회사 들어가도 돼요?	6
헐 남자한테 빌려줬다고?	5
저도 다시는 그 쪽 뵐 일 없을 것 같네요.	3
운동하면 되지.	4
그래? 그럼 수학 시험 보기 전날에 파이널로 과외 수업 잡아 둘까?	1
 아 그러시구나 그럼 어떡하죠..	4
아니 형수님이 사과해야지. 어떻게 임신한 사람한테 그런 말을 해.	0
네 맞는데… 왜 그러세요?	5
그래서 공부도 잘 해야 되고, 운동도 잘 해야하는거야.	0
제가 뭘 어쨌다고 이러세요?	0
뭐.. 명절의 의미가 그런거긴 하지만.. 요즘들어 친척들끼리 자주 만나지도 못하고.. 괜히 마음이 쓰이네.	1
근데 지훈이 어떻게 했어! 엄마 말대로 했어?!	0
어머.. 그럼 뭐… 빚 때문에 그랬다는 거야?	2
이 천이요? 이 천 만원이나 대체 어디에 필요하세요?	2
그러면서 이렇게 무책임하게 사람 패고 다니라고 하면 어떡해.	6
이 그룹에서는 얘가 메인이 아니지. 싱어지. 혼자 무슨 랩퍼를 빨고 있어.	3
 됐어. 괜찮아.	3
응, 우리 지역구에 공천을 받았다더라고.	1
아 불안한데. 여기서 한 발자국도 움직이면 안돼? 엄마 갔다 올게. 모르는 사람이 말 걸면 대답하지 말고 알겠지? 누가 말 걸어도 대답 하면 안돼?	2
"응. 옛날에 동방명주 오빠들 매니저가 꿈이었어서 	 1종으로 따놨지."	7
그걸 벌써 다 썼다고??? 지난 주에 준 걸?	3
니가 빨빨거리고 돌아다니니까 그렇지. 가만히 앉아있으면 안 더워.	0
몰라... 말 시키지마...	4
"너, 지나간 것도 잘만 찾아서 보더만.	 이거 나중에 보고 ‘백년의 약속들’ 좀 틀어봐. 	 그건 지금 지나면 못 봐."	3
야, 꿈은 크면 클 수록 좋은 거야. 그건 너무 소박하잖아.	7
네?	5
나는 낳고 싶어.	2
그래도 손님…	2
그렇지만. 적어도 이런 일은 일어나면 안됐는데.	4
" 이게 뭐야?	 아무 것도 없는데?"	5
…그러긴 했는데, 다른애들 다 피시방 갔단 말이에요.	6
다른 건 하나도 손 안 댔어. 깡마른 화초 하나 있길래, 그거 내다놓은 거지.	2
그런건 누가 정하는거냐	6
그건 아니지만…	4
아 스테이크도 너무 질기고 말이야!	0
응, 그러려고 했는데, 아들놈이 이민을 간다고 하더라구.	4
소정이요? 그 얘긴 벌써 들었어요.	6
다연아, 왜 요즘 세준이 안 오니?	5
내가 다 봤는데 . 뭐, 전단지 붙이고 있었지?	0
나도 알아. 당신이 평소에 그렇게 생각 안하는 거. 나도 놀라서 좀 욱했나봐.	4
선생님도 너네가 걔 안 좋아하는 거 알아?	1
푸들?	5
아니 왜 그러는데... 지금까지 잘 참았잖아.	6
내가 그 친구 데리고 사업을 해볼까? 그 친구는 요즘 뭐한대?	2
약 먹으면 좋아지나요…?	2
아니라니깐요?	0
낚시 하려면, 체력이 좋아야 하지 않아?	7
"대답이 늦다? 	말 해. 얼마나 질렀어?"	2
어허.	3
네. 아유 우리 혜수가 웬 남자애들이랑 취하면 어쩌나 맨날 걱정이라니까요.	2
버는 돈이.. 뭐 우리는 상상할 수도 없는 정도인가봐.	1
그게 아니라… 에휴. 참. 학생 부모님은 어딨어요?	2
알았어… 그러면 딱 삼 초만 만져봐.  자.	1
"...음...선생님이 보민이에 대해 잘 몰라서 	 정확히 말하진 못하겠지만....	 그 정도로 힘든 일이 있었다면 예린이한테 얘기하지 않았을까?"	4
내가 와사비 왕창 넣었는데 뭘 맛있대.	6
너네 오빠가 너보다 훨씬 똑똑하지 않아? 학원.. 막 학원 현수막에 이름 제일 막 크게 써 있던데?	5
좀 의심스럽기는 한 이 주 된 거 같아.	2
무슨 하루 이틀도 아니고 공부하는데 맨날 시끄럽게 하니까 그렇지. 저 새끼 고 3때보자 내가 공부 못하게 난리 칠거야 맨날.	0
아… 네.	2
"아직 안 배웠구나. 그게 바로 완료형이라는 거야. 	 내 인생은 이미 결론이 났어. 	 희망이 그냥 gone~"	3
너한테 미래라는 게 있기나 할 것 같냐? 인간 쓰레기 같은 놈.	3
내가 재미가 없나?	3
그 때, 그 형이랑 우리 누나랑 크게 싸우고 헤어진 것 같던데.	4
 샘. 이거 지진이죠?	5
세찬이도 똑부러지지 않아? 남자애들은 원래 좀 느려. 이제 초등학굔데 뭐.	5
좀 입을 수도 있지? 아주 그냥 뻔뻔하네. 그래서 그거 어쨌는데?	0
그렇긴 하지… 에이. 참 이뻤는데. 시집와서 고생만 했다 니 엄마…	4
미소야. 언니 오늘 집에 오는 길에 희순이 만났어.	4
 너랑은 이런 것만 죽이 잘 맞아서 너무 좋아.	7
그래? 벌써부터 화장하면 나중에 피부가 다 상하는데. 슬기랑 혜지네 엄마도 아셔?	6
아니요. 그런 배가 아니에요.	3
너 진짜 왜 그래. 남자친구 사귀라더니, 맘이 바꼈어?	0
알았어. 말한다는게 아니라. 걱정돼서.	6
말도 안돼 진짜~ 나 진짜 괜찮아 할머니~	7
 거짓말이라뇨? 무슨 거짓말을 한다고 그러세요?	0
그래서, 부모님한테는 말씀 드렸고?	2
"그런가. 나 이거 하나 줘. 	 아, 카드 되지?"	7
 으아.	5
매운 치킨.	1
인공아파트 2차 상가에서 떡집 하신다는데, 너무 바빠서 학부모 모임에도 한 번도 못 나왔대.	4
아니. 그런 거 아니고요.	2
그건 그렇죠.  저희 혜수도 이제 고1인데.	6
안식년 아니고, 정년 퇴직.	7
그럼 그냥 친구들이랑 나눠 먹던가 아니면 좋아하는 선생님한테 드리던가.	7
맨날 야근하느라고 야식 먹고, 스트레스 받으니까 단 것 먹고. 좋은 거 먹고 찐 살이 아니라서 그런지 몸도 안 좋아지는 느낌이야.	2
다음달 모의고사도 걱정이에요. 평균 떨어지면 교장 선생님 또 뒤집어지실텐데.	2
 헐. 야 너가? 웬일이야.	5
무슨 일 있어?	4
앞 날 걱정이 왜 없어. 당장 오늘 방송에서 뭐 먹어야 좋을지도 고민이야.	3
미안해.. 근데 나 이번엔 진짜 진지해.. 나 정말 꼭 소설가가 되고 싶어..어릴적부터 소설가가 되고 싶었는데… 이제라도 도전해보려고해…	1
대관비를 지급 안해서... 예약이 취소가 되었대요.	2
현진이네 집에 자기랑 똑같은 물건이 막 여러 개가 있더래.         샤워가운이며, 블루투스 스피커며.	0
아 네.	5
 쯧쯧. 젊은 학생이 체력이 왜 그래.	0
이 놈 자식. 엄마가 괜히 한 번 그런 말 해 본 거지. 아빠가 무슨 허풍을 쳐. 자, 물어 봐, 모르는 게 뭔지.	0
제가 상황 한 번 볼게요.	2
아.. 일은 내가 알아서 할게. 얼른! 어휴  가 봐.	6
그러게… 아줌마도 충격이 엄청 크시더라..	4
너 그걸 농담이라고 한 거면 유머감각에 문제 있는 거야. 알아?	3
아니. 옷? 무슨 옷을 사.	5
안 그래도 부를거에요! 기다리세요!	0
나만 없어.	4
몰라. 한 20,30만원 할걸?	2
그 양반 성품이 아주 모난 데 없이 둥글고 착했지.	4
너? 너 애지…	3
할머니랑 30분만 하기로 약속했지? 지금 몇 시야?	0
아… 삼 대 시구나.	1
알았어. 근데 미영이 남편이 채식주의자라던데.. 어디 식당을 가야되나.	2
중학생이라고 일은 일대로 시켜놓고 알바비 제대로 안 주시는거에요?	0
뭐요? 며칠 전에 산건데 무슨 위약금을 냅니까?!	0
아 그렇구나… 제형이네 오빠가 불러내서, 자기가 찍힌거 풀어줬으니까, 걱정하지 말라고 했대. 그리고 욕도 하지말라고. 게임에서.	1
 이..이거 놓고 말하세요!	0
결혼기념일을?	5
부장님. 저 드릴 말씀이 있는데요.	2
아, 그거. 그 죄를 면해준다는 거 아니야?	7
외계 생명체가 니 인생에 그렇게 중요해?	3
자칫하면 저뿐만 아니라 세훈이한테도 불똥이 튈 테니까요.	2
저희 회사에 대해 들어 보셨는지요?	7
이강인! 아빠가 하지 말라고 했지! 아빠가 자꾸 똑같은 소리 계속 하게 만들래?	0
나도 하고 싶어서 하는 거 아니야. 안하면 안되니까 하는거라고…	3
그래. 올해 뭐 가지고 싶은 거 있어?	1
"아이 참. 알았다니까. 아빠 빨리 나가요.	 나 진짜 늦게 생겼어."	0
그런 적이 있어?	5
뭐 그렇지.	1
왜! 내가 가르쳐 줬잖아. 이대로만 그리면 돼.	5
차는… 달리는 로망이야.	1
하여튼 저 성질머리 하고는.	5
오늘처럼 무더위와 고온이 이어지는 날을 폭염이라고 그러는 거야.	1
나가라고!	0
그것도 괜찮네. 일단은 회사 일에 집중하고 천천히 생각해.	7
 이래서 늦는다. 저래서 늦는다. 요래서 늦는다.	3
응 좋아. 근데 엄마가 갑자기 오거나 할까봐 좀 걱정이야.	2
 이거 계산 좀 해줘.	6
미역국 삼촌이 끓이면 되겠네. 어차피 집에서 아무것도 안하잖아.	3
이번주 일요일에.	1
왜요?	5
아니 내가 식물위키에서 봤다고…	6
안돼..! 나중에 탈 거야. 나중에.	6
정말 좋은 방법이네요.	7
저는 더이상 못 살겠어요. 진짜! 저는 못 삽니다.	0
퇴근 시간에는 원래 다 막혀요.	6
네… 근데요 전도사님. 그럼, 엄마 곁에 빨리 가려면       저도 빨리 죽어야 하나요?	4
답답한 소리 하시네. 요즘은 민정이 때랑 또 달라요. 유치원부터 시작하는 애들이 태반인데.	6
그럼 나중에 애프터 하시면 돼요.	1
아빠 그런데, 주원이가 요새 좀 수상하지 않아?	3
역사가 만들어진 곳이기도 하죠.	3
2년 동안 열심히 하면 이안대학교 정도는 써볼 수 있지 않겠녜. 아, 이안대학교는 살면서 생각조차 한번도 안 해 봤는데... 멘붕이다.	4
안돼. 조금만 나중에.	6
너 혹시 도박 하니? 어쩌다가 갑자기 그렇게 큰 돈을 썻어!	2
그래… 아까 사십만원 정도라고 하지 않았어? 근데 여긴 다 일곱자리 숫자인데…?	2
"아이고. 잠잠하다 했다. 	 또 일을 벌리는구만. 	 그냥 책장 작은 거 하나 사고, 필요한 책 있을 때마다 왔다갔다 해."	3
네. 뭐. 근데 사진은 좀…	6
"니가 왜, 걔네들이랑 경쟁을 해. 	너는 나중에 경영을 해야 되는 사람인데."	6
아 연장했어요.	1
어디서 반말이야?!	0
저는 이런 낡은 느낌이 좋더라고요. 어렸을 때 갔던 시골집 생각도 나고.	7
 할머니 진짜 미워. 담부터 우리집 오지 마요!	0
한문학과는 뭐야? 너 한문 엄청 못하잖아. 너 중학교 때 한문쌤 누구냐. 그 신지은쌤? 그 쌤이 너 한문 못한다고 뭐라고 했다며.	3
나는 임신 하고 싶은데.	4
한창 바쁜 시간이라… 저희들이 제대로 확인하지 못하고 음료를 건네드린것 같습니다. 죄송합니다. 입이 열개라도 할 말이 없습니다.	4
이렇게 정정한데요 뭘.	0
 안녕하세요.	1
응. 기대만큼 재밌었어?	7
저.. 베개 맡긴 거 찾으러 왔어요.	1
 아이고. 마누라 사랑 받아서 어디다 씁니까.	6
오빠는 왜 말을 그렇게 해?	0
수석졸업? 나 그건 몰랐네. 진짜 대단하구나. 공부 엄청 잘했네.	5
응... 저번에 형이 그릇을 깼거든.	2
다음에 꼭 진짜 다시 데려올게.	4
 아 아닙니다. 근데... 우리 주민이가 뭘 잘못 했나요.	5
건강한 돼지 되는거지. 그래도 그냥 돼지보다는 낫지 않냐?	1
아니, 막 방귀를 많이 뀌는 건 아닌데… 보통은 연인끼리 있을 때도, 좀 조심해서 소리 안나게 뀐다던가… 정, 방귀가 마려우면 화장실을 가고 그러잖아요.	3
 지금 11시요.	7
우리 헤어지자.	6
응 선우랑 같이 계속 봤는데, 그냥 계속 혼자 있던데?	1
지금 부모님으로 되어 있긴 한데요.	2
예를 들어서, 민수가 준 돈으로 다른 사람들한테 돈을 빌려 주면서, 이자를 받는 거야. 그 받은 이자의 일부를 민수에게 주는 거지.	4
"어우, 감독님 이렇게 취하셔서, 누굴 책임져요. 	 본인을 우선 챙기세요."	6
겨우 모의고사인데 뭐. 친구들이 다들 열심히 공부를 하니까, 나도 그런 분위기 속에서 힘을 얻게 되는 거 같아.	4
"너야, 이제 한 시름 놨으니까 쉽게 말할 수 있는 거지.	 나도 동철이 자식, 취직해서 지 밥벌이만 하면, 바로 손 놓을 거다."	4
혜진아, 이렇게 혼자 힘들어만 하면 안돼. 왜 내색도 안하고 가만히 앓고만 있었어?	2
한숨 그만 쉬어.	4
모의 시험 만큼만 했으면 이미 합격이지. 왜 항상 본 시험에는 모의 시험만큼 못 볼까.	3
지희야 너는 결혼해도, 꼭, 일 계속 해라.	4
덥다 더워.	6
퇴근해서 내가 노냐? 맨날 대본 쓰고, 수정하고, 재확인하고. 얼마나 바쁜 줄 알아?	0
근데 길에서 하면 엄청 위험해요. 차도 씽씽 다니고, 자전거에 치일 수도 있고요.	6
어 근처에 한 군데 있다. 7시까지네. 지금 가자.	5
우리는 언제 데뷔하냐. 나 솔직히 연습실에서 스무 살 넘은 형들 보면 좀 불안하다.	4
아버지 그건 제가 다시 갚는다고 말씀 드렸잖아요..	3
<그날>의 인상적인 연기를 보고 대칠 배우님을 알게 되셨다는 분들이 많아요.	7
아니. 짝은 오빠가 나 못난이 인형 닮았대!	4
우리를 올라오는 게 아니라. 같이 올라가자고 같이. 손잡고.	0
 응? 손은 왜?	5
음…. 네. 기억 나요.	7
당연하죠. 제가 아마 고모를 닮았나봐요?	3
가자. 오늘 학교 끝나고 같이 가자.	1
 그렇구나. 알려줘서 고마워요!	6
아 진짜 먹는 걸로 왜 그래. 치사하게?	3
흠… 지훈이는 그러면 약하면 잡아 먹혀도 상관없다고 생각하는 거야?	1
아 맛있는거 먹고 싶다.	4
누가 너 보고 적금을 들래?	1
뭘 오해하시게 끔이야. 그냥 실언이지. 영업은 말빨인데, 이래서 뭘 팔아먹겠어?	0
아 응. 그거 향 좋아서 나도 하나 샀어.	1
아니… 그때는 살아보려고, 거짓말 한거지.	4
아니, 태권도 캠프 가는게 뭐가 무섭다고 이러는거야?	3
아 진짜…? 무조건 안된다셔?	1
어제 화장품을 잘못 썼나봐.	4
곰팡이가 눈에 보이지 않아도 포자가 날아다녀요. 그게 호흡기에 얼마나 안 좋은데요.	0
간병인 써야지. 그 비용은 내가 댈게.	6
쯧쯧, 세상 천치구만.	3
네.	2
테이프요? 무슨 테이프요?	5
남자가 바깥 생활 하다보면 그럴 수도 있지.	6
"핏줄이라고 또 와서 바득바득 따지는 거 보소.	 집 없는 사람은 어디 서러워서 살겠나.  머리 아프니까, 귀찮게 하지 말고 니 방에 들어가 있어. "	3
회사에서 동료들이 반찬 집어 먹어보더니 깜짝 놀래. 누가 만들었냐고.	7
나 다리 부러졌을 때.	0
하여간 어렸을 때부터 말만 잘해 말만.  저기요. 이방인은 재밌게 있다가 돌아가세요. 우리 일은 우리가 알아서 할게.	3
됐어. 다시는 안 와!	0
왜 싫어?	1
엄마한테 태블릿 사 줄거야? 나는?	5
원래 기억은 왜곡되는거야.	7
또 사줘? 너 왜 자꾸 컴퓨터 망가뜨려?	0
에,뭐라구요? 지금 말 다하셨어요?	0
그래. 내가 다음에 사줄 게.	1
 네가 친구들 사줘.	7
재밌대?	3
내가 처음부터 반말했어?	0
오늘 고등어 무 조림이랑 계란국이랑 차조밥이요.	7
그러게. 기상청이 일을 제대로 안 하나봐 요새.	0
내가 먹어 봐서 알아. 프랜차이즈는 자극적이서 금방 물리더라고.	4
한국에 언제 이렇게 카페가 많이 생겼대? 오 년 전까지만 해도 이렇게 여기저기에 카페 널려있지는 않았는데. 오랜만에 들어오니까 아주 별천지야.	5
우리 집은 안전하니까 언니, 맘 놓고 달리자! 	7
아이, 선배 몸을 엄청 사리시네.	3
아냐 할머니 여기 얼마나 재밌는게 많은데.	7
내 친구, 종훈이가 엄마랑 같이 카페 가려고 했는데, 노키즈존이라서 못들어갔대.	4
또 밖으로 나돈다고 니 속 썩이면 갖다 버려버려라.	6
약속!	7
아니… 제가…	3
아 그거! 말 해도 되나? 그거 말하면 안될텐데?	2
그래서, 고백은 언제 할 거야?	1
그러게요… 제가 갖고 있으면 안되는 물건이더라구요…	3
아 그리고 택배 박스를 왜 가위로 여는데? 그러면 날 다 망가져.	6
그렇지.. 그러니까 너도 감사한 마음으로 공부해. 너는 명절 날 맛있는거 엄청 먹으면서 잘 지냈지?	1
 또또 꼬투리 잡는다.	0
참 별일이네. 우리 땐 실, 연필, 돈… 이런 게 전부였는데 말이야.	1
아 이모 닭살돋게 왜 자꾸 칭찬만 해~	7
요즘 들어 바쁜가 보지.	6
그 아저씨 백수야?	5
까먹었어~	3
어디에?	6
"엄마가요.. 애들도 안 오는데, 뭐하러 돈 들여 파티를 하녜요..	 그냥 가족끼리 밥 먹쟤요.."	4
징징이.	3
일단 기다려 보자.	4
왜 무슨 일인데?	6
저 아르바이트 구한다는 글 보고 왔는데요.	2
너 입양했잖아.	2
학교에 가야지만 배울 수 있는 것도 있어~ 학교가 왜 싫은데?	4
그럼 다른 퀴즈 한 번 더 내봐.	2
진짜야. 토할거 같아.	3
얼마나 드셨나요?	5
목숨이 위태로운가봐.. 현관 복도까지 피가 흘려져 있고 난리도 아니었어..	4
밥에다가 물을 부어요? 그걸 무슨 맛으로 먹어요?       간장이랑 먹어요? 김치랑 먹어요?	6
 어….	2
교복입은 거 보면 고등학생 같은데?	6
너 말고 누가 먹었겠어 그럼. 동생이 잼 병뚜껑을 어떻게 열어.	0
만나자마자 임신한거야?	5
이 운동은 코어를 만들어 주는 거예요. 자, 힘 딱 주시고!	6
니가 알아서 치워야 엄마가 냅둘 거 아니야!  옷 벗으면 그 자리에 던져놓고, 가방 들고오면, 그 자리에 그대로 펼쳐놓고.	6
음...그럼 일단 이번 중간고사부터 오답 노트를 열심히 만들어 봐야겠다.	4
네. 감사합니다.	1
언니 여행 갔을 때, 승윤이 만나러, 그 집 갔는데 승지 언니, 집에 있었거든.	3
발끈하긴 뭘 발끈해, 니가 말도 안 되는 소리를 하니까 그렇지.	6
근데… 어제는 된다고 하셨잖아요.	4
왜, 그간 자식한테 그렇게 무관심 하더니.	6
엄마 없을 때는 언니가 엄마지.	1
 또 뭐! 뭐! 뭐!        뜸 들이지 말고 빨리 말해 이 기집애야.        난 니가 뜸 들이면 무서워 죽겠어 정말.	0
아… 번거롭게 만들어 참 미안합니다.	2
근데 왜 1등을 못 해?	3
거기서 쫓겨나서 여기 아니면 잘 데가 없어.	0
내가 바보냐?	0
아직 어디로 가실지도 안 정하신 거에요?	5
난 축구하는 게 좋단 말이야.	0
준호 취향이 쨌든, 니 쪽이라는 거잖아.	7
음… 뭐 가져가지?	1
"그런 말 좀 많이 들어. 	 근데 매니저 오빠는 어디가고 너 혼자 와?	 밤길 위험한데."	7
"엄마 나… 	가수하고 싶어."	4
저한테 괜히 희망 주지 마세요. 저는 선배 어려워요. 그 때도 그렇고 지금도 마찬가지에요.	3
뭘 찾는데?	1
내가? 야 내가 그래 뭐. 미남은 아니지만. 그래도 키는 크잖아.	5
네?	5
왜 불편해요?	5
아니 근데 내가 분명히 먼저 체육복 빌려달라고 했단말이야	3
장하네.	7
그거 진짜 싫어요.	6
그랬나. 모르겠어.        사실, 그냥 희망을 가지고 싶은 것 같기도 해.	4
너는 교우관계가 정말 좋구나. 비결이 뭐니?	5
그거 아픈 건 그냥 파스 바르면 돼.         죽을 병 걸린 것도 아닌데, 왜 이렇게 유난이야.	6
" 그럼, 시온이가 놀이터 한번 가줄래?	 삼촌이 없으면, 시온이는 바로 집으로 가있어. 알았지?"	3
"원래 집에서도 설거지는 내 담당이야. 	엄마가 자기 손 망가지면 안 된다고, 나한테 설거지 하라고 그래."	6
아 그런가요..? 저는 연장자가 먹고 싶은 것 먹는 건 줄 알았어요	4
다행히, 주변에 친구들이 있었지. 걔들이 나한테도 알리고, 119도 부르고 해서. 살았지.	1
그럴 거면 너 혼자 나가 살아!	3
다음에 한 번 놀러와. 밥 먹으러. 다들 너 보고 싶어하셔.	7
아 미안해, 정말.	4
정말요? 엄마 완전 거짓말쟁이네.	5
와 소리 엄청 깨진다. 귀 안 아프냐 이런 걸로 들으면?	3
요즘 핸드폰들 신기한 기능이 많긴 많더라.	5
그 게임회사에서 니들한테 상이라도 줘야겠다.	3
알겠어요. 근데 오늘 말고 나중에요.	0
요즘 삼겹살 가격이 좀 올랐다던데. 비싸려나?	7
아니. 내가 너무 떨려서, 입이 안열리는거야. 말은 또 엄청 걸고 싶고. 내가 그래서, 딱 그런 생각이 들더라고. 이게 사랑이구나.	2
그러다 노총각 돼.	3
근데 왜 그랬어?	0
너가 어떻게 키우냐? 너 스스로도 못 키우는데?	3
뭐야. 갑자기 그런건 왜 물어?	7
"아니…언제까지 차에서만 만나야 되나 싶어서. 	우리가 무슨 범죄 저지르는 것도 아니고. 	맨날 이렇게 숨어서 만나니까 잘못하는 것 같잖아."	6
좋은 거 하는구나. 근데 너 치약에 대해 뭐 아는 거 있냐? 갑자기 칫솔 치약?	5
철학…? 철학과에 가야겠다.	1
암튼, 그만하자. 우리 이제 쫑낼 때 됐어.	6
언제?	5
그래. 존중할게.	7
지금 몇 학년이라고 하셨죠?	5
아저씨 오늘 진짜 할 일 많아. 근데 여기 온거잖아. 니가 신고한거고. 맞아 아니야?!	0
 이거? 깜짝 초밥. 도로 가져 갈게. 주말에 먹어.	6
뭐하는 거예요 지금? 저 모욕하려고 불러 내신 거예요?	0
그게… 그 친구가 가구 공방을 그만 뒀다네.	2
방음소년단 티켓? 오빠. 그건 아양으로 될 일이 아니야.	3
저번에 밤 새고 집 들어가는 길에… 골목길에서… 주차되어 있던 외제차를 박았어.	4
전화도 안 받네. 이거 큰 일 났다. 야.	0
"불쌍하지, 내 새끼...	 얼마나 한이 됐으면, 아직도 못 올라가고 주위를 맴돌고 있을까...	 왜 엄마한테 안오고, 엄한 동생 꿈에 가서 동생을 힘들게 해..."	4
 어쭈, 우리 세형이 완전 문학 소년이네? 멋있는데?	3
 아니야~	6
돼지고기 생으로 먹으면 돼지고기 안에 있는 세균이 얼마나 많은데, 넌 지금 세균 덩어리를 통째로 삼킨 거야!	3
아니, 내가 내일도 촬영이 있는데, 새벽까지 촬영이 웬 말이야. 지금 들어가야 돼.	0
아... 네…	5
"알았어... 무섭게 왜 그래... 	 근데 신기하네, 진짜 나도 몰랐던 형이 어떻게 내 꿈에 나왔지."	4
아니 저번에는 많이 하면 학부모님들이 좋아한다고.	6
선생님 근데 그러면은 큰일나는 거 아니에요?             그 벌레에 막 독 들어있고 그러면 어떡해요?	2
안돼요. 걔 십년 만난 여자 친구 있단 말이에요.	5
좀이 아니었잖아, 걔들은.	6
내가 그랬나?	7
성환아… 이러지 말자 진짜... 응? 제발…	4
너 지금 민수랑 너랑 비교해서 그러는거야? 민수만 검은 띠 메고 다니는게 질투나서?	3
춤 연습하는 거?	5
이상하다. 엄마가 애기는 결혼하고 갖는 거라고 그랬는데.	6
둘이 좋으면 뽀뽀 할 수도 있지. 뭐 그런거가지고 호들갑을.	3
그게 아니라니까요? 같은 반이면 다 친구에요? 아니거든요.	0
오! 9,18 있어 있어! 계속 불러봐.	5
그랬었지. 손이 발이 되도록 비는데도 엄마가 막 때렸지.        근데 그 얘기는 갑자기 왜?	6
아니 그런 건 아니고. 헤어진 거는 아니고. 그냥 친구 공연 보러갔다가 거기에서 친구의 친구인 여자를 만났는데.	2
오만원이요?	5
한 시간 째 쿵쿵 대서 잠을 못자고 있어요.	0
갑자기?	1
아빠가 어릴 때 귀신 본 얘기 궁금해?	7
아니, 연락도 없이 이게 무슨 일이야. 왠일이야? 무슨 일 있어?	5
그러게.. 아빠가 이렇게 잘 하는데… 엄마 닮았지 뭐.	7
너 친구들 중에서 학원 안 다니는 애 있어? 없지?	0
 저거… 쓸 만 하냐니?	1
자꾸 이러면 나도 전남친 콜렉션으로 풀착장하고 나타날거야.	6
그 때까지 괜찮겠어?	5
야, 나는 어릴 때 아버지 생신 한 달 전부터 뭘 해드려야되나 고민하고 그랬어. 근데 너는 일주일 전인데 아무 생각도 안 했단 말이야?	3
와. 천생연분이네. 누군데?	1
에 뭐에요. 하나도 안 무서운데?	7
응. 떨어졌어.	4
"동그랗게 생겨서,  잡으면 냄새 엄청 지독하게 나는 거. 	 그건 눌러서 잡으면 안돼. 잡아다 밖에다 버려야지."	6
이제 꼬부랑 할아버지지, 뭘. 근데, 뭐 부탁할 게 있다고?	5
아니 그냥 내 얼굴만 보면 알지. 뭐가 더 필요해?	3
예. 저도 편하고 좋고, 아버님도 맛있는 거 드시고 좋지요.	4
여기 화장실은 어떻게 매번 물비누가 없어? 짜증스럽게.	3
왜요?	6
면도기로?	1
보일러로 연결된 호스가 빠졌는데, 모르고 온수를 쓰셔서 그랬나 봅니다.	7
만약에 누나가 잘못되면, 우리 가족들 다 얼마나 슬프겠어. 나쁜 선택을 하기 전에 꼭 우리 가족들을 생각해. 알았지?	4
언니가.... 희순이랑 왜 싸웠는지도 다 들었어.	4
주변엔 다 결혼해서 애들 두고 사는데, 나는 진짜 걱정이라니까.	1
그래. 아빠가 보기에도 딱히 녹물 같지는 않던데. 그래도 걱정이 되네.	2
맞아.. 애들이 미울 때도 있었는데.. 다들 나 때문에 태어난 애들인데.. 전부 내 책임이지.	3
맨날?	5
누가 그래? 그건 어디서 들었어?	5
없지 않을까?	3
너 하나 키우기도 얼마나 힘든데. 또 애기 낳아봐라.        너희 어머니가 또 일도 못하지, 몸 상하지. 얼마나 힘들겠니.	2
근데 할아버지, 그 도자기.. 할머니가 진짜 아끼던 거래요… 할머니 막 울었어요.	2
아빠, 근데 우리 어디로 가?	4
누나 친구 남편 중에 누가 있다고 했잖아.	2
아저씨 제발요…	2
진수 그 노므자식 안 되겠구만.	0
연애까지는 아니고. 그냥 좀 만나고 있어.	7
진짜 마음을 나눌 수 있는 친구는 없어.	4
너?! 야! 너 지금.. 너랬어?	0
뭐? 아까는 언제나 내 편이랬잖아.	3
거짓말하지 마세요. 9공 준비 중이시잖아요. 파워 에듀 다니시죠? 새벽반.	3
"바빠서 그래요.	 짐 정리도 이제 겨우 끝냈어."	4
뭐라고..?!	3
한 캔도 술은 술이지!	0
돈도 벌고 결혼도 해야지. 엄마 아빠 생각도 좀 해 봐.	2
나도 너만할때 아주 날라다녔어 나이 앞에 장사 없는거야	6
"나라에서도 외고나 자사고를 없애내, 마내 난리인데. 	대의를 해치지 않는 선에서 애도 합시다."	4
왜?	5
야 그래도 오빠지. 아저씨라니.          이렇게 젊은 아저씨 봤어?	5
아… 다른 가족은요?	4
공짜? 진짜로 공짜에요?	5
나도 당한 적이 있지. 아버지 없는 애라고 놀리고 그런 애들이 있었어.	4
"으이그 으이그. 잘 한다. 	 돈 벌어서 아낄 생각은 똥으로도 안하는구만."	6
오빠. 오빠 피아노 칠 줄 알지?	7
그 아저씨나 이 아저씨나 똑같잖아요!	0
얼마 전에 갔더니 장롱 구석에 있더라.	5
그러니까 이 놈이 노상 아는 척만 하지, 가만히보면 헛똑똑이여.	3
아….	4
"평소 같으면,어? 형이 이런거에 관심을 가질 	위인이 아니지. 뭔가가 있어야 관심을 가지지. 	엄마한테 가서 전해. 	궁금한 게 있으면 직접 와서 물어보라고."	6
이거 말하는 것 봐라?	0
어. 많이 좋아져서, 식습관만 잘 유지 한다면… 다음엔 당약을 아예 빼도 되겠다고 하더라.	1
어... 살 수 있긴 한데... 나래 호텔 주인 되려면 돈 많이 벌어야겠네.	5
그래? 어떤 점에서?	7
